paper_id,first,last,Place
00092970eddd063aca001b5bb021be5557e47033,Kant,Singh,India
00092970eddd063aca001b5bb021be5557e47033,Puneet,Khanna,India
00092970eddd063aca001b5bb021be5557e47033,Sundara,Kannan,India
00092970eddd063aca001b5bb021be5557e47033,|,Akhil,India
00092970eddd063aca001b5bb021be5557e47033,Soumya,Sarkar,India
000379d7a7f37a2ccb978862b9f2016bd03259ea,Harish,Devaraj,USA
000379d7a7f37a2ccb978862b9f2016bd03259ea,Rajiv,Malhotra,USA
000b88a3a342f55aab834668b790458e1d4bab43,Jörg,Spörri,Switzerland
000b88a3a342f55aab834668b790458e1d4bab43,Stefan,Fröhlich,Switzerland
000b88a3a342f55aab834668b790458e1d4bab43,Malte,Claussen,Switzerland
000b88a3a342f55aab834668b790458e1d4bab43,Andrea,Fiorillo,""
000b88a3a342f55aab834668b790458e1d4bab43,Erich,Seifritz,Switzerland
000b88a3a342f55aab834668b790458e1d4bab43,Gaia,Sampogna,""
000b88a3a342f55aab834668b790458e1d4bab43,Johannes,Scherr,Switzerland
000b88a3a342f55aab834668b790458e1d4bab43,Erich,Seifritz,""
000b88a3a342f55aab834668b790458e1d4bab43,Christian,Imboden,""
000b88a3a342f55aab834668b790458e1d4bab43,Gaia,Sampogna,Switzerland
000b88a3a342f55aab834668b790458e1d4bab43,Jörg,Spörri,""
000b88a3a342f55aab834668b790458e1d4bab43,Andrea,Fiorillo,Switzerland
000b88a3a342f55aab834668b790458e1d4bab43,Samuel,Iff,""
000b88a3a342f55aab834668b790458e1d4bab43,Boris,Quednow,Switzerland
000b88a3a342f55aab834668b790458e1d4bab43,Boris,Quednow,""
000b88a3a342f55aab834668b790458e1d4bab43,Johannes,Scherr,""
000b88a3a342f55aab834668b790458e1d4bab43,Malte,Claussen,""
000b88a3a342f55aab834668b790458e1d4bab43,Stefan,Fröhlich,""
000b88a3a342f55aab834668b790458e1d4bab43,Christian,Imboden,Switzerland
000b88a3a342f55aab834668b790458e1d4bab43,Samuel,Iff,Switzerland
000f9e2d3dadab239e44c57471b7a8b9b35452b9,Mark,Daley,Canada
000f9e2d3dadab239e44c57471b7a8b9b35452b9,Ian,Mcquillan,Canada
0001418189999fea7f7cbe3e82703d71c85a6fe5,E,Cornelissen,Belgium
0001418189999fea7f7cbe3e82703d71c85a6fe5,H,Dewerchin,Belgium
0001418189999fea7f7cbe3e82703d71c85a6fe5,H,Nauwynck,Belgium
0001418189999fea7f7cbe3e82703d71c85a6fe5,E,Hamme,Belgium
00033d5a12240a8684cfe943954132b43434cf48,Martin,Daeumer,""
00033d5a12240a8684cfe943954132b43434cf48,Petra,Wandernoth,Germany
00033d5a12240a8684cfe943954132b43434cf48,Joerg,Kriegsmann,""
00033d5a12240a8684cfe943954132b43434cf48,Mark,Kriegsmann,Germany
00033d5a12240a8684cfe943954132b43434cf48,Cristina,Groh-Mohanu,Germany
00033d5a12240a8684cfe943954132b43434cf48,Oliver,Harzer,""
00033d5a12240a8684cfe943954132b43434cf48,Katharina,Kriegsmann,""
00033d5a12240a8684cfe943954132b43434cf48,Cristina,Groh-Mohanu,""
00033d5a12240a8684cfe943954132b43434cf48,Joerg,Kriegsmann,Germany
00033d5a12240a8684cfe943954132b43434cf48,Martin,Daeumer,Germany
00033d5a12240a8684cfe943954132b43434cf48,Katharina,Kriegsmann,Germany
00033d5a12240a8684cfe943954132b43434cf48,Peter,Gohl,Germany
00033d5a12240a8684cfe943954132b43434cf48,Mark,Kriegsmann,""
00033d5a12240a8684cfe943954132b43434cf48,Oliver,Harzer,Germany
00033d5a12240a8684cfe943954132b43434cf48,Peter,Gohl,""
00033d5a12240a8684cfe943954132b43434cf48,Petra,Wandernoth,""
00107b3ed5ec1cb7153bb26d71293337229c921c,Renata,Reis,""
00107b3ed5ec1cb7153bb26d71293337229c921c,Vieira,Pereira-Caldeira,""
00107b3ed5ec1cb7153bb26d71293337229c921c,Renata,Reis,Brazil
00107b3ed5ec1cb7153bb26d71293337229c921c,Mayra,Menegueti,Brazil
00107b3ed5ec1cb7153bb26d71293337229c921c,Milton,Jorge De Carvalho,""
00107b3ed5ec1cb7153bb26d71293337229c921c,Natália,Maria,Brazil
00107b3ed5ec1cb7153bb26d71293337229c921c,Milanês,Sousa,Brazil
00107b3ed5ec1cb7153bb26d71293337229c921c,Milton,Jorge De Carvalho,Brazil
00107b3ed5ec1cb7153bb26d71293337229c921c,Laelson,Rochelle,Brazil
00107b3ed5ec1cb7153bb26d71293337229c921c,Natália,Maria,""
00107b3ed5ec1cb7153bb26d71293337229c921c,Milanês,Sousa,""
00107b3ed5ec1cb7153bb26d71293337229c921c,Elucir,Gir,""
00107b3ed5ec1cb7153bb26d71293337229c921c,Laelson,Rochelle,""
00107b3ed5ec1cb7153bb26d71293337229c921c,Mayra,Menegueti,""
00107b3ed5ec1cb7153bb26d71293337229c921c,Elucir,Gir,Brazil
00107b3ed5ec1cb7153bb26d71293337229c921c,Vieira,Pereira-Caldeira,Brazil
000a0fc8bbef80410199e690191dc3076a290117,Wei-Feng,Wang,China
000a0fc8bbef80410199e690191dc3076a290117,Yi-Long,Zhang,China
